09-21 16:49:00.552   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:00.554   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:00.556   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:00.557   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:02.560   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:02.561   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:02.563   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:02.564   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:02.565   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:04.568   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:04.570   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:04.572   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:04.574   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:04.575   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:06.577   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:06.578   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:06.580   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:06.581   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:06.583   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:08.585   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:08.586   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:08.588   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:08.589   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:08.591   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:10.594   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:10.595   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:10.596   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:10.598   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:10.599   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:12.602   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48831mC, Err -1831mC, SampleCnt 1
09-21 16:49:12.603   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
09-21 16:49:12.605   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48831mC, Err -831mC, SampleCnt 1
09-21 16:49:12.609   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48831mC, Err -2831mC, SampleCnt 1
09-21 16:49:12.610   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48831mC, Err -4831mC, SampleCnt 1
09-21 16:49:14.612   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:14.613   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:14.614   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:14.616   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:49:14.618   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:49:16.620   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:49:16.621   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:49:16.623   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:49:16.636   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
